TE_Rank,player_name,TE_REC,TE_TGT,TE_YDS,TE_Y/R,TE_LG,TE_20+,TE_TD,TE_ATT,TE_YDS,TE_TD,TE_FL,TE_G,TE_FPTS,TE_FPTS/G,TE_ROST,Position
84,charliewoerner(atl),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,TE
85,lawrencecager(nyg),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
86,seanmckeon(det),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
87,giovanniricci(cle),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
88,tylerdavis(gb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
89,scottywashington(bal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
90,tommyhudson(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
91,michaelezeike(sea),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
92,paynedurham(tb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
93,zackkuntz(nyj),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
94,bensims(gb),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,TE
95,braydenwillis(sf),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
96,derekparish(fa),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,TE
97,joelwilson(gb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
98,cadestover(hou),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%,TE
99,julianhill(mia),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
100,travisvokolek(ari),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
101,e.j.jenkins(phi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
102,bradyrussell(sea),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
103,patrickmurtagh(jac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
104,griffinhebert(phi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
105,blakewhiteheart(ari),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
106,tuckerkraft(gb),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,3.9%,TE
107,lukeschoonmaker(dal),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,TE
108,tannertaula(tb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
109,rodneywilliams(pit),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
110,jaketonges(sf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
111,zairemitchell-paden(cle),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
112,kehindeoginni(atl),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
