WR_Rank,player_name,WR_REC,WR_TGT,WR_YDS,WR_Y/R,WR_LG,WR_20+,WR_TD,WR_ATT,WR_YDS,WR_TD,WR_FL,WR_G,WR_FPTS,WR_FPTS/G,WR_ROST,Position
131,kjhamler(buf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
132,devinduvernay(jac),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
133,brandonaiyuk(sf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,98.5%,WR
134,gunnerolszewski(nyg),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
135,jalenreagor(ne),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
136,marcussimms(sea),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
137,daviondavis(was),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
138,kavontaeturpin(dal),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,WR
139,codythompson(tb),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
140,andyisabella(buf),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
141,davidsills(den),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
142,collinjohnson(chi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
143,tyronbilly-johnson(dal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
144,scottymiller(pit),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
145,trentonirwin(cin),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
146,juwannwinfree(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
147,quintonbell(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
148,gregdortch(ari),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.8%,WR
149,mecolehardmanjr.(kc),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,WR
150,lil'jordanhumphrey(den),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
151,diontaejohnson(car),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,85.3%,WR
152,stanleymorganjr.(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
153,tylerjohnson(lar),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
154,milesboykin(nyg),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
155,ashtondulin(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
156,easopwinstonjr.(sea),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
157,anthonyschwartz(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
158,dyamibrown(was),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
159,danchisena(ari),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
160,dezfitzpatrick(pit),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
161,ihmirsmith-marsette(car),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
162,sethwilliams(jac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
163,daxmilne(lv),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
164,andrebaccellia(ari),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
165,codywhite(sea),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
